abv,availability,ba_score,beer_name,beer_number,brewery_name,brewery_number,notes,pdev,ranking,ratings,reviews,style
6.80%, Year-round,4.14,(512) Pecan Porter,45617,(512) Brewing Company,17863,"Nearly black in color, (512) Pecan Porter is made with Organic US 2-row and Crystal malts along with Baird’s Chocolate and Black malts. Its full body and malty sweetness are balanced with subtle pecan aroma and flavor from locally grown pecans. Yet another true Austin original!<br><br>Added by JonathanL7890 on 10-29-2008<br>",11.11%,"#1,863",774,135,American Porter
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.80%, Year-round,3.86,Apocalypse IPA,53808,10 Barrel Brewing Co.,16873,"A Northwest American-Style IPA. The color comes through as a deep gold with orange hues.  Fruity and citrusy hop aroma shines, with hints of pine resin. The four hop flavor dominates, re-enforcing the aroma with more citrus, fruity and piney notes. The malt character is clean and smooth with a unique toasted flavor (thanks to the generous helping of Victory malt), all held together by a firm bitterness. Apocalypse has a medium-bodied mouth feel, finishing crisp and dry. All of this results in a very drinkable IPA.",10.36%,"#11,153",818,160,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
6.90%, Year-round,3.97,Joe IPA,170128,10 Barrel Brewing Co.,16873,"This IPA was formally known as Sam named after its hops; simcoe, amaarillo and mosaic, but we were told this would be a trademark issue with a large craft brewery out of the north-east, so we had to change it. We cycled though a bunch of generic names; Bob, Tom, Dick, Dan, Carl, Frank until we finally arrived on the perfect name for this IPA...Joe.<br><br>Added by JohnGalt1 on 04-29-2015<br>",9.32%,"#5,322",548,102,American IPA
